51: min_energy: 945.0, max_energy: 6064.0, {'qpu_sampling_time': 11496.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.42, 'qpu_access_time': 26564.76, 'qpu_access_overhead_time': 5973.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 565.0, 'post_processing_overhead_time': 565.0}
52: min_energy: 1510.0, max_energy: 8052.0, {'qpu_sampling_time': 10450.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 63.96, 'qpu_access_time': 25520.76, 'qpu_access_overhead_time': 9497.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1062.0, 'post_processing_overhead_time': 1062.0}
53: min_energy: 741.0, max_energy: 5772.0, {'qpu_sampling_time': 15174.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 111.2, 'qpu_access_time': 30241.96, 'qpu_access_overhead_time': 8637.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 526.0, 'post_processing_overhead_time': 526.0}
54: min_energy: 480.0, max_energy: 2656.0, {'qpu_sampling_time': 16204.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 121.5, 'qpu_access_time': 31276.36, 'qpu_access_overhead_time': 3994.64, 'qpu_programming_time': 15072.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 484.0, 'post_processing_overhead_time': 484.0}
55: min_energy: 577.0, max_energy: 3119.0, {'qpu_sampling_time': 14100.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 100.46, 'qpu_access_time': 29169.16, 'qpu_access_overhead_time': 4652.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 366.0, 'post_processing_overhead_time': 366.0}
56: min_energy: 1250.0, max_energy: 11524.0, {'qpu_sampling_time': 14926.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 108.72, 'qpu_access_time': 29991.56, 'qpu_access_overhead_time': 3845.44, 'qpu_programming_time': 15065.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 452.0, 'post_processing_overhead_time': 452.0}
57: min_energy: 525.0, max_energy: 2916.0, {'qpu_sampling_time': 14464.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 104.1, 'qpu_access_time': 29532.76, 'qpu_access_overhead_time': 3608.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 461.0, 'post_processing_overhead_time': 461.0}
58: min_energy: 1163.0, max_energy: 11074.0, {'qpu_sampling_time': 17546.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 134.92, 'qpu_access_time': 32614.36, 'qpu_access_overhead_time': 6757.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 627.0, 'post_processing_overhead_time': 627.0}
59: min_energy: 456.0, max_energy: 3253.0, {'qpu_sampling_time': 18194.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 141.4, 'qpu_access_time': 33263.56, 'qpu_access_overhead_time': 4004.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 578.0, 'post_processing_overhead_time': 578.0}
60: min_energy: 1558.0, max_energy: 13789.0, {'qpu_sampling_time': 19526.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 154.72, 'qpu_access_time': 34599.16, 'qpu_access_overhead_time': 5695.84, 'qpu_programming_time': 15073.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 712.0, 'post_processing_overhead_time': 712.0}
