39: min_energy: 296.0, max_energy: 3039.0, {'qpu_sampling_time': 12938.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.84, 'qpu_access_time': 28007.16, 'qpu_access_overhead_time': 1928.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 489.0, 'post_processing_overhead_time': 489.0}
40: min_energy: 444.0, max_energy: 3942.0, {'qpu_sampling_time': 13284.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 92.3, 'qpu_access_time': 28355.16, 'qpu_access_overhead_time': 9210.84, 'qpu_programming_time': 15071.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2123.0, 'post_processing_overhead_time': 2123.0}
41: min_energy: 34.0, max_energy: 224.0, {'qpu_sampling_time': 18200.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 141.46, 'qpu_access_time': 33268.76, 'qpu_access_overhead_time': 1392.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2045.0, 'post_processing_overhead_time': 2045.0}
42: min_energy: 156.0, max_energy: 1595.0, {'qpu_sampling_time': 9852.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 57.98, 'qpu_access_time': 24920.76, 'qpu_access_overhead_time': 6663.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2517.0, 'post_processing_overhead_time': 2517.0}
43: min_energy: 297.0, max_energy: 5221.0, {'qpu_sampling_time': 9688.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 56.34, 'qpu_access_time': 24757.96, 'qpu_access_overhead_time': 1842.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 4938.0, 'post_processing_overhead_time': 4938.0}
44: min_energy: 42.0, max_energy: 391.0, {'qpu_sampling_time': 17926.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 138.72, 'qpu_access_time': 32997.16, 'qpu_access_overhead_time': 1555.84, 'qpu_programming_time': 15071.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3748.0, 'post_processing_overhead_time': 3748.0}
45: min_energy: 635.0, max_energy: 3526.0, {'qpu_sampling_time': 13820.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 97.66, 'qpu_access_time': 28888.76, 'qpu_access_overhead_time': 6540.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2602.0, 'post_processing_overhead_time': 2602.0}
46: min_energy: 192.0, max_energy: 2118.0, {'qpu_sampling_time': 18272.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 142.18, 'qpu_access_time': 33342.36, 'qpu_access_overhead_time': 4937.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 545.0, 'post_processing_overhead_time': 545.0}
47: min_energy: 33.0, max_energy: 321.0, {'qpu_sampling_time': 14666.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 106.12, 'qpu_access_time': 29735.96, 'qpu_access_overhead_time': 5685.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2687.0, 'post_processing_overhead_time': 2687.0}
48: min_energy: 2.0, max_energy: 244.0, {'qpu_sampling_time': 16674.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 126.2, 'qpu_access_time': 31745.56, 'qpu_access_overhead_time': 6084.44, 'qpu_programming_time': 15071.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3836.0, 'post_processing_overhead_time': 3836.0}
