45: min_energy: 67.0, max_energy: 956.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35467.3, 'qpu_access_overhead_time': 1903.7, 'qpu_programming_time': 11023.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1409.0, 'post_processing_overhead_time': 1409.0}
46: min_energy: 339.0, max_energy: 3233.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35505.3, 'qpu_access_overhead_time': 1667.7, 'qpu_programming_time': 11061.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 389.0, 'post_processing_overhead_time': 389.0}
47: min_energy: 198.0, max_energy: 2150.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35494.3, 'qpu_access_overhead_time': 2113.7, 'qpu_programming_time': 11048.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 443.0, 'post_processing_overhead_time': 443.0}
48: min_energy: 318.0, max_energy: 2717.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35459.5, 'qpu_access_overhead_time': 2037.5, 'qpu_programming_time': 11013.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 818.0, 'post_processing_overhead_time': 818.0}
49: min_energy: 161.0, max_energy: 1551.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35503.9, 'qpu_access_overhead_time': 2260.1, 'qpu_programming_time': 11057.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2146.0, 'post_processing_overhead_time': 2146.0}
50: min_energy: 416.0, max_energy: 4534.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35430.9, 'qpu_access_overhead_time': 1759.1, 'qpu_programming_time': 10984.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2217.0, 'post_processing_overhead_time': 2217.0}
51: min_energy: 330.0, max_energy: 2206.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35504.5, 'qpu_access_overhead_time': 2222.5, 'qpu_programming_time': 11058.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 4605.0, 'post_processing_overhead_time': 4605.0}
52: min_energy: 828.0, max_energy: 6606.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35454.9, 'qpu_access_overhead_time': 1824.1, 'qpu_programming_time': 11008.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 4054.0, 'post_processing_overhead_time': 4054.0}
53: min_energy: 80.0, max_energy: 422.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35473.1, 'qpu_access_overhead_time': 1784.9, 'qpu_programming_time': 11027.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1281.0, 'post_processing_overhead_time': 1281.0}
54: min_energy: 195.0, max_energy: 2922.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35513.5, 'qpu_access_overhead_time': 1786.5, 'qpu_programming_time': 11067.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 486.0, 'post_processing_overhead_time': 486.0}
55: min_energy: 286.0, max_energy: 1940.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35540.7, 'qpu_access_overhead_time': 2487.3, 'qpu_programming_time': 11094.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 652.0, 'post_processing_overhead_time': 652.0}
56: min_energy: -155.0, max_energy: -152.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35169.7, 'qpu_access_overhead_time': 1164.3, 'qpu_programming_time': 10725.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 295.0, 'post_processing_overhead_time': 295.0}
57: min_energy: 408.0, max_energy: 8653.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35527.1, 'qpu_access_overhead_time': 2497.9, 'qpu_programming_time': 11081.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 813.0, 'post_processing_overhead_time': 813.0}
58: min_energy: 347.0, max_energy: 6709.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35528.7, 'qpu_access_overhead_time': 2228.3, 'qpu_programming_time': 11082.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 595.0, 'post_processing_overhead_time': 595.0}
59: min_energy: 199.0, max_energy: 2922.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35523.5, 'qpu_access_overhead_time': 2036.5, 'qpu_programming_time': 11077.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 472.0, 'post_processing_overhead_time': 472.0}
60: min_energy: 526.0, max_energy: 3405.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35526.1, 'qpu_access_overhead_time': 1752.9, 'qpu_programming_time': 11080.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 429.0, 'post_processing_overhead_time': 429.0}
